Date_Tow,Spp,Count,Date,Sample
IE0321172,Micropogonias undulatus,6,032117,2
IE0321173,Micropogonias undulatus,7,032117,3
IE0321175,Micropogonias undulatus,1,032117,5
IE0329174,Micropogonias undulatus,1,032917,4
IE0405171,Micropogonias undulatus,14,040517,1
IE0405173,Micropogonias undulatus,12,040517,3
IE0405175,Micropogonias undulatus,3,040517,5
IE0412173,Micropogonias undulatus,12,041217,3
IE0412175,Micropogonias undulatus,8,041217,5
IE0421176,Micropogonias undulatus,2,042117,6
IE0428172,Micropogonias undulatus,1,042817,2
IE0428176,Micropogonias undulatus,1,042817,6
IE0503171,Micropogonias undulatus,2,050317,1
IE0503172,Micropogonias undulatus,1,050317,2
IE0503172,Micropogonias undulatus,1,050317,2
IE0909173,Micropogonias undulatus,17,090917,3
IE0909174,Micropogonias undulatus,19,090917,4
IE0915172,Micropogonias undulatus,1,091517,2
IE0915173,Micropogonias undulatus,2,091517,3
IE0915174,Micropogonias undulatus,17,091517,4
IE0922171,Micropogonias undulatus,1,092217,1
IE0922172,Micropogonias undulatus,1,092217,2
IE0922173,Micropogonias undulatus,3,092217,3
IE0922174,Micropogonias undulatus,5,092217,4
IE1009171,Micropogonias undulatus,8,100917,1
IE1009172,Micropogonias undulatus,7,100917,2
IE1009173,Micropogonias undulatus,4,100917,3
IE1009174,Micropogonias undulatus,3,100917,4
IE1014171,Micropogonias undulatus,19,101417,1
IE1014172,Micropogonias undulatus,30,101417,2
IE1014173,Micropogonias undulatus,38,101417,3
IE1014174,Micropogonias undulatus,10,101417,4
IE1026171,Micropogonias undulatus,1,102617,1
IE1026172,Micropogonias undulatus,1,102617,2
IE1026173,Micropogonias undulatus,1,102617,3
IE1105173,Micropogonias undulatus,4,110517,3
IE1114173,Micropogonias undulatus,1,111417,3
IE1114174,Micropogonias undulatus,1,111417,4
IE1129171,Micropogonias undulatus,1,112917,1