Code,Spp,Tow Date,Tow_ID,Tow_num,Picture Date,Fish Number,Notes
00581,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,1,
00582,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,2,
00583,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,3,
00584,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,4,
00585,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,5,
00586,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,6,
00587,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,7,
00589,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,8,
00590,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,9,
00591,Micropogonias undulatus,9/11/17,ICHP-17-0171 ,1,6/15/21,10,
00592,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,11,
00593,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,1,
00594,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,2,
00595,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,3,
00596,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,5,
00597,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,6,
00598,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,7,
00599,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,8,
00600,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,9,
00601,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,10,
00602,Micropogonias undulatus,9/11/17,ICHP-17-0172 ,2,6/15/21,11,
00603,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,1,
00604,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,2,
00605,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,3,
00606,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,4,
00607,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,5,
00608,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,6,
00609,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,7,
00610,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,8,
00611,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,9,
00612,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,10,
00613,Micropogonias undulatus,9/11/2017,ICHP-17-0713,3,6/15/21,11,
00614,Micropogonias undulatus,9/21/2017,ICHP-17-0059,1,6/15/2021,1,"5 total, only 4 whole fish"
00615,Micropogonias undulatus,9/21/2017,ICHP-17-0059,1,6/15/2021,2,
00616,Micropogonias undulatus,9/21/2017,ICHP-17-0059,1,6/15/2021,3,
00617,Micropogonias undulatus,9/21/2017,ICHP-17-0059,1,6/15/2021,4,
00618,Micropogonias undulatus,9/21/2017,ICHP-17-0058,2,6/15/21,1,
00619,Micropogonias undulatus,9/21/2017,ICHP-17-0058,2,6/15/21,2,
00620,Micropogonias undulatus,9/21/2017,ICHP-17-0058,2,6/15/21,3,
00621,Micropogonias undulatus,9/21/2017,ICHP-17-0058,2,6/15/21,4,
00622,Micropogonias undulatus,9/21/2017,ICHP-17-0058,2,6/15/21,5,
00623,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,1,
00624,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,2,
00625,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,3,
00626,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,4,
00627,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,5,
00628,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,6,
00629,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,7,
00630,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,8,
00631,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,9,
00632,Micropogonias undulatus,9/21/17,ICHP-17-0059,3,6/16/21,10,
00633,Micropogonias undulatus,10/9/17,ICHP-17-0179,1,6/16/21,1,VIAL 1 OF 2
00634,Micropogonias undulatus,10/9/17,ICHP-17-0179,1,6/16/21,2,
00635,Micropogonias undulatus,10/9/17,ICHP-17-0179,1,6/16/21,3,
00636,Micropogonias undulatus,10/9/17,ICHP-17-0179,1,6/16/21,4,
00637,Micropogonias undulatus,10/9/17,ICHP-17-0179,1,6/16/21,1,VIAL 2 OF 2
00638,Micropogonias undulatus,10/9/17,ICHP-17-0179,1,6/16/21,2,
00639,Micropogonias undulatus,10/9/17,ICHP-17-0179,1,6/16/21,3,
00640,Micropogonias undulatus,10/9/17,ICHP-17-0179,1,6/16/21,4,
00641,Micropogonias undulatus,10/9/17,ICHP-17-0181,3,6/15/21,1,VIAL 1 OF 2 
00642,Micropogonias undulatus,10/9/17,ICHP-17-0181,3,6/15/21,2,
00643,Micropogonias undulatus,10/9/17,ICHP-17-0181,3,6/15/21,3,
00644,Micropogonias undulatus,10/9/17,ICHP-17-0181,3,6/15/21,4,VIAL 2 OF 2 
00645,Micropogonias undulatus,10/9/17,ICHP-17-0181,3,6/15/21,5,
00647,Micropogonias undulatus,11/1/17,ICHP-17-0069,1,6/15/21,1,
00648,Micropogonias undulatus,11/1/17,ICHP-17-0069,1,6/15/21,2,
00649,Micropogonias undulatus,11/1/17,ICHP-17-0069,1,6/15/21,3,
00650,Micropogonias undulatus,11/1/17,ICHP-17-0069,1,6/15/21,4,
00651,Micropogonias undulatus,11/1/17,ICHP-17-0069,1,6/15/21,5,
00652,Micropogonias undulatus,11/1/17,ICHP-17-0069,1,6/15/21,6,Phone Pic 
00654,Micropogonias undulatus,11/1/17,ICHP-17-0069,1,6/15/21,8,
00655,Micropogonias undulatus,11/1/17,ICHP-17-0069,1,6/15/21,9,
00659,Micropogonias undulatus,11/1/17,ICP-17-0070 ,2,6/15/21,1,
00660,Micropogonias undulatus,11/1/17,ICP-17-0070 ,2,6/15/21,2,
00661,Micropogonias undulatus,11/1/17,ICPH-17-0070,2,6/15/21,1,
00662,Micropogonias undulatus,11/1/17,ICPH-17-0070,2,6/15/21,2,
00663,Micropogonias undulatus,11/1/17,ICPH-17-0070,2,6/15/21,3,
00664,Micropogonias undulatus,11/1/17,ICPH-17-0070,2,6/15/21,4,
00665,Micropogonias undulatus,11/1/17,ICPH-17-0070,2,6/15/21,5,
00666,Micropogonias undulatus,11/1/17,ICPH-17-0070,2,6/15/21,6,
00667,Micropogonias undulatus,11/1/17,ICPH-17-0070,2,6/15/21,7,
00681,Micropogonias undulatus,11/1/17,ICHP-17-0071,3,6/23/21,1,
00682,Micropogonias undulatus,11/1/17,ICHP-17-0071,3,6/23/21,1,
00683,Micropogonias undulatus,11/1/17,ICHP-17-0071,3,6/23/21,1,
00684,Micropogonias undulatus,11/1/17,ICHP-17-0071,3,6/23/21,1,
00685,Micropogonias undulatus,11/1/17,ICHP-17-0071,3,6/23/21,1,
00686,Micropogonias undulatus,11/1/17,ICHP-17-0071,3,6/23/21,1,
00687,Micropogonias undulatus,11/1/17,ICHP-17-0071,3,6/23/21,1,
00688,Micropogonias undulatus,11/1/17,ICHP-17-0071,3,6/23/21,1,
00689,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00690,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00691,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00692,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00693,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00694,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00695,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00696,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00697,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00698,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00699,Micropogonias undulatus,11/1/17,ICHP-17-0187,1,6/23/21,1,
00199,Micropogonias undulatus,11/6/17,ICHP-17-0188,1,6/24/21,,
00200,Micropogonias undulatus,11/6/17,ICHP-17-0188,1,6/24/21,,
00201,Micropogonias undulatus,11/6/17,ICHP-17-0188,,6/24/21,,
00202,Micropogonias undulatus,11/6/17,ICHP-17-0188,,6/24/21,,
00203,Micropogonias undulatus,11/6/17,ICHP-17-0188,,6/24/21,,
00204,Micropogonias undulatus,11/6/17,ICHP-17-0188,,6/24/21,,ONLY head 
00209,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00210,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00211,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00212,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00213,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00214,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00215,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00216,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00217,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00218,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00219,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00220,Micropogonias undulatus,11/6/17,ICHP-17-0189,,6/24/21,,
00700,Micropogonias undulatus,11/6/17,ICHP-17-0188,2,6/24/21,1,
00243,Micropogonias undulatus,11/14/17,ICHP-17-0074,,6/24/21,,
00244,Micropogonias undulatus,11/14/17,ICHP-17-0074,,6/24/21,,
00245,Micropogonias undulatus,11/14/17,ICHP-17-0074,,6/24/21,,
00246,Micropogonias undulatus,11/14/17,ICHP-17-0074,,6/24/21,,
00247,Micropogonias undulatus,11/14/17,ICHP-17-0074,,6/24/21,,
00248,Micropogonias undulatus,11/14/17,ICHP-17-0074,,6/24/21,,
00249,Micropogonias undulatus,11/14/17,ICHP-17-0074,,6/24/21,,
00250,Micropogonias undulatus,11/14/17,ICHP-17-0074,,6/24/21,,
00251,Micropogonias undulatus,11/14/17,ICHP-17-0074,,6/24/21,,
00281,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,1,
00282,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,2,
00283,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,3,
00284,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,4,
00285,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,5,
00286,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,6,
00287,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,7,
00288,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,8,
00289,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,9,
00290,Micropogonias undulatus,11/20/17,ICHP-17-0193,1,6/28/21,10,
00311,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,1,
00312,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,,
00313,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,,
00314,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,,
00315,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,,
00316,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,,
00317,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,,
00318,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,,
00319,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,,
00320,Micropogonias undulatus,11/20/17,ICHP-17-0193,2,6/28/21,,
00341,Micropogonias undulatus,11/20/17,ICHP-17-0193,,6/30/21,4,
00342,Micropogonias undulatus,11/20/17,ICHP-17-0193,,6/30/21,5,
00343,Micropogonias undulatus,11/20/17,ICHP-17-0193,,6/30/21,6,
00344,Micropogonias undulatus,11/20/17,ICHP-17-0193,,6/30/21,7,
00345,Micropogonias undulatus,11/20/17,ICHP-17-0193,,6/30/21,8,
00346,Micropogonias undulatus,11/20/17,ICHP-17-0193,,6/30/21,9,
00357,Micropogonias undulatus,12/11/17,ICHP-17-0201,,7/7/21,1,
00358,Micropogonias undulatus,12/11/17,ICHP-17-0201,,7/7/21,2,
00359,Micropogonias undulatus,12/11/17,ICHP-17-0201,,7/7/21,3,
00360,Micropogonias undulatus,12/11/17,ICHP-17-0201,,7/7/21,4,
00361,Micropogonias undulatus,12/11/17,ICHP-17-0201,,7/7/21,5,
00362,Micropogonias undulatus,12/11/17,ICHP-17-0201,,7/7/21,6,
00363,Micropogonias undulatus,12/11/17,ICHP-17-0201,,7/7/21,7,
00364,Micropogonias undulatus,12/11/17,ICHP-17-0201,,7/7/21,8,
00350,Micropogonias undulatus,12/18/17,ICHP-17-0204,,7/721,1,
00351,Micropogonias undulatus,12/18/17,ICHP-17-0204,,7/721,2,
00352,Micropogonias undulatus,12/18/17,ICHP-17-0204,,7/721,3,
00354,Micropogonias undulatus,12/18/17,ICHP-17-0205,,7/721,1,
00355,Micropogonias undulatus,12/18/17,ICHP-17-0205,,7/721,2,
00356,Micropogonias undulatus,12/18/17,ICHP-17-0205,,7/721,3,
00225,Micropogonias undulatus,11/14/17,ICHP-17-0073,,6/24/21,,
00226,Micropogonias undulatus,11/14/17,ICHP-17-0073,,6/24/21,,
00227,Micropogonias undulatus,11/14/17,ICHP-17-0073,,6/24/21,,
00228,Micropogonias undulatus,11/14/17,ICHP-17-0073,,6/24/21,,
00229,Micropogonias undulatus,11/14/17,ICHP-17-0073,,6/24/21,,
00230,Micropogonias undulatus,11/14/17,ICHP-17-0073,,6/24/21,,
00231,Micropogonias undulatus,11/14/17,ICHP-17-0073,,6/24/21,,
00272,Micropogonias undulatus,11/14/17,ICHP-17-0075,,6/28/21,1,
00273,Micropogonias undulatus,11/14/17,ICHP-17-0075,,6/28/21,2,
00274,Micropogonias undulatus,11/14/17,ICHP-17-0075,,6/28/21,3,
00275,Micropogonias undulatus,11/14/17,ICHP-17-0075,,6/28/21,4,
00276,Micropogonias undulatus,11/14/17,ICHP-17-0075,,6/28/21,5,
00277,Micropogonias undulatus,11/14/17,ICHP-17-0075,,6/28/21,6,
00278,Micropogonias undulatus,11/14/17,ICHP-17-0075,,6/28/21,7,
00279,Micropogonias undulatus,11/14/17,ICHP-17-0075,,6/28/21,8,
00280,Micropogonias undulatus,11/14/17,ICHP-17-0075,,6/28/21,9,