n,Standardlength,Totallength,Depthatpec,Depthatanus,Pulsearea,Musclearea,Bodyarea,Cauddepth,Caudheight,Caudarea,Bodywidth,Interoctdistance,Eyedimatere
1,9.6282,11.5488,2.2311,1.8734,10.5677,7.5775,14.7069,0.6414,1.2013,1.974,,,0.5602
3,,,,,,,,,,,1.0069,0.9575,
4,18.9055,23.9799,4.6861,3.7468,55.5366,30.5874,63.6995,1.7003,2.7521,12.4845,,,1.0945
5,11.4733,14.6678,2.7595,2.3813,21.7469,12.549,22.9606,0.9531,1.6384,5.2991,,,0.8389
6,9.7285,12.5086,2.3004,2.0989,12.8697,7.7096,16.7078,0.755,1.1217,2.5624,,,0.6792
7,7.6457,9.3083,1.417,1.3105,6.4381,4.3768,8.9997,0.4376,0.5673,1.0624,,,0.5475
8,7.7243,9.4898,1.7898,1.4406,8.3228,5.3608,9.7626,0.5978,1.0283,1.4291,,,0.5525
9,8.686,10.771,1.8949,1.4765,10.927,6.7383,11.4402,0.6584,1.2213,2.8211,,,0.554
10,,,,,,,,,,,1.1326,0.8731,
11,,,,,,,,,,,1.2909,0.787,
12,,,,,,,,,,,1.2475,0.7729,
13,,,,,,,,,,,0.7624,0.3115,
14,,,,,,,,,,,0.7167,0.398,
15,8.4483,10.1073,2.032,1.7116,10.6676,6.7374,12.4372,0.6638,1.1211,2.226,,,0.6537
16,,,,,,,,,,,0.8691,0.5274,
17,12.3533,15.296,3.0563,2.927,24.0866,13.6014,28.8923,1.0678,1.9307,5.6486,,,0.8384
18,,,,,,,,,,,0.7157,0.4526,
19,,,,,,,,,,,1.0387,0.6393,
20,,,,,,,,,,,1.506,1.0125,
21,10.3946,12.9724,2.318,1.8706,15.774,10.2731,18.3557,0.9042,1.3343,2.5761,,,0.8233
22,6.3783,7.6327,1.5482,1.0537,5.1239,3.5996,6.9669,0.4973,0.9424,1.2155,,,0.393
23,9.0248,10.8344,2.1145,1.8551,12.3519,7.7043,13.5293,0.7735,1.2475,2.8584,,,0.5861
24,,,,,,,,,,,1.101,0.5744,
25,,,,,,,,,,,0.543,0.4801,
26,,,,,,,,,,,0.8515,0.5875,
27,6.8656,8.196,1.5556,1.2598,6.2683,3.8762,7.8061,0.5393,1.0252,1.3451,,,0.537
28,9.5637,11.9995,2.2825,1.8989,14.3443,7.9507,15.2335,0.8221,1.3848,3.4977,,,0.7179
29,,,,,,,,,,,0.6155,0.2342,
30,,,,,,,,,,,0.972,0.726,
31,8.0817,9.8432,1.662,1.1826,7.3664,4.9322,9.4199,0.5037,0.907,1.4637,,,0.4056
32,,,,,,,,,,,0.9899,0.5989,
33,10.2367,11.8258,2.1435,1.9665,12.869,8.2915,16.663,0.7568,1.3575,2.0681,,,0.4779
34,14.0294,17.4491,3.886,2.9981,29.1001,16.3189,37.2498,1.1428,2.0571,5.7335,,,0.9714
35,7.5836,9.9338,2.0063,1.5435,9.307,5.9595,11.0989,0.7091,1.3341,2.4662,,,0.5408
36,6.0084,6.5571,1.8604,1.4068,5.9323,3.834,8.8191,0.3222,0.5848,0.3306,,,0.3913
37,,,,,,,,,,,1.3605,0.5256,
38,,,,,,,,,,,1.7741,1.0754,
39,,,,,,,,,,,1.0068,0.7972,
40,7.8839,9.6015,1.9253,1.3274,8.0984,5.0634,10.3738,0.7117,1.0448,1.359,,,0.5797
41,,,,,,,,,,,0.6283,0.5006,
42,,,,,,,,,,,0.642,0.4158,
43,9.1489,10.6713,2.3677,1.7943,11.8684,7.2678,14.2409,0.758,1.2461,2.2784,,,0.5623
44,9.5046,11.4946,2.2841,1.7113,12.2363,8.0815,15.3289,0.7403,1.1596,1.7805,,,0.5283
45,7.9751,10.1115,1.7112,1.1876,7.9684,4.3496,9.0161,0.6961,0.946,1.7603,,,0.4668
46,7.8166,9.4543,1.9564,1.4958,9.0749,6.2916,10.7905,0.5921,1.0394,1.4742,,,0.4844
47,,,,,,,,,,,1.2297,0.7157,
48,,,,,,,,,,,1.4623,0.8281,
49,,,,,,,,,,,0.9041,0.5015,
50,,,,,,,,,,,0.8207,0.487,
51,10.6236,12.5621,2.5517,2.1592,15.4665,9.9972,19.7888,0.916,1.4527,2.7341,,,0.6887
52,9.9065,12.1553,2.3886,1.605,13.7566,8.0365,16.8666,0.7901,1.5063,2.637,,,0.6217
53,10.4836,12.3195,2.008,1.6638,10.442,5.1853,12.0076,0.8715,1.3684,2.1277,,,0.597
54,,,,,,,,,,,1.5426,0.8644,
55,,,,,,,,,,,1.3673,0.7453,
56,,,,,,,,,,,1.1857,0.7709,
57,9.7729,11.9856,2.3037,1.8683,12.4388,7.1222,17.7124,0.9003,1.4532,2.5421,,,0.648
58,12.3383,16.6103,2.9372,2.5907,27.2955,15.113,28.6044,1.2338,2.3134,7.049,,,0.8795
59,,,,,,,,,,,1.1373,0.6585,
60,,,,,,,,,,,1.7788,0.8317,
61,9.4602,11.9501,2.1048,1.7875,11.7708,7.6922,14.4421,0.8564,1.2195,2.0019,,,0.5711
62,9.9818,12.1341,2.2909,1.7945,14.122,8.4447,15.5352,0.8737,1.6216,3.5147,,,0.5754
63,,,,,,,,,,,1.0767,0.7689,
64,,,,,,,,,,,1.2704,0.6929,
65,9.7286,12.3465,1.7793,1.8927,13.0772,8.066,15.1407,0.9105,1.4816,2.5263,,,0.5684
66,9.8768,11.9281,2.1028,1.9681,13.0473,8.4781,17.2949,0.9055,1.54,2.5062,,,0.5931
67,,,,,,,,,,,1.3554,0.6795,
68,,,,,,,,,,,1.3322,0.8018,
69,8.8938,10.714,2.2194,1.5936,11.5456,6.8409,12.4695,0.6225,1.425,2.695,,,0.3961
70,,,,,,,,,,,1.0757,0.784,
71,8.2242,10.0893,2.1673,1.664,10.0126,6.1647,12.5919,0.7041,1.0208,1.7524,,,0.6374
74,,,,,,,,,,,0.9122,0.5805,
75,7.7109,9.0338,1.8167,1.4841,8.3215,5.1913,10.3265,0.5886,1.1952,1.4337,,,0.5568
76,,,,,,,,,,,0.6591,0.4933,
77,9.3059,10.9565,2.4392,2.0322,12.8891,7.7323,14.7789,0.8476,1.5501,2.3244,,,0.6615
78,,,,,,,,,,,1.0272,0.7066,
79,8.1503,9.7537,1.9697,1.5103,9.475,5.9936,11.1987,0.6745,1.3616,1.9121,,,0.4537
80,,,,,,,,,,,0.7385,0.6311,
81,8.4281,10.0974,2.0528,1.74,9.7452,7.2325,12.5127,0.6996,1.2761,1.8879,,,0.6352
82,,,,,,,,,,,0.8542,0.5627,
83,7.5202,8.5469,1.7664,1.2582,6.0639,4.1494,8.7895,0.5319,0.9961,0.8121,,,0.5336
84,,,,,,,,,,,0.8491,0.5573,
85,6.8372,8.508,1.7994,1.3183,5.6807,4.24,8.4741,0.4444,0.6591,0.5256,,,0.5084
86,,,,,,,,,,,0.7251,0.5703,
87,7.8714,9.0538,1.8729,1.0025,7.0836,4.5108,9.469,0.7229,1.0441,1.2533,,,0.4965
88,,,,,,,,,,,0.9465,0.597,
89,7.429,8.884,1.6898,1.2408,6.5974,4.8475,8.3366,0.5993,0.8139,0.8285,,,0.4749
90,,,,,,,,,,,0.6864,0.4567,
91,,,,,,,,,,,1.1061,0.678,
92,,,,,,,,,,,0.8465,0.5227,
93,7.9362,9.5865,2.1162,1.6555,8.1621,4.9505,10.5016,0.657,1.1133,1.5292,,,0.594
94,6.7615,8.1903,1.695,1.1798,6.553,4.7313,8.8114,0.5749,0.9004,1.0059,,,0.5399
95,4.689,5.6687,1.7784,1.3318,2.6449,2.0771,7.9683,0.8,1.2303,0.3593,,,0.5477
96,,,,,,,,,,,0.855,0.6122,
