"","Survey","Date","Location","Time","Sudo","Bodo","SuSal","BoSal","SuTemp","BoTemp","Tide","Depth","LatDeg","Latitude","LongDeg","LONGITUD","Secchi","SuPH","BoPH","Northing","Easting","UTM","Edit"
"1","ICHPLAN",2017-09-05,"LSHCB",424,5.67,5.8,27.1,28.29,21.2,21.1,"FLD",NA,NA,NA,NA,NA,NA,7.57,7.71,NA,NA,NA,0
"2","ICHPLAN",2017-08-10,"LSHCB",2115,7.12,6.54,28.14,29.05,24.9,23.8,"FLD",NA,NA,NA,NA,NA,NA,7.92,8.01,NA,NA,NA,0
"3","ICHPLAN",2017-07-26,"LSHCB",2142,6.37,5.97,29.15,29.66,24.5,24,"FLD",NA,NA,NA,NA,NA,NA,7.97,8.08,NA,NA,NA,0
"4","ICHPLAN",2017-07-12,"LSHCB",2151,6.95,6.91,30.44,31.22,23.2,19.8,"FLD",NA,NA,NA,NA,NA,NA,7.74,7.77,NA,NA,NA,0
"5","ICHPLAN",2017-06-27,"LSHCB",2147,6.71,7.15,30.73,31.39,19.9,17.1,"FLD",NA,NA,NA,NA,NA,NA,7.85,7.88,NA,NA,NA,0
"6","ICHPLAN",2017-06-13,"LSHCB",2130,6.74,6.66,28.65,29.81,21.5,18.7,"FLD",NA,NA,NA,NA,NA,NA,7.81,7.93,NA,NA,NA,0
"7","ICHPLAN",2017-05-30,"LSHCB",2130,7.42,7.66,28.84,29.89,17.1,17,"FLD",NA,NA,NA,NA,NA,NA,7.68,7.87,NA,NA,NA,0
"8","ICHPLAN",2017-05-16,"LSHCB",2115,8.42,7.89,27.61,28.41,16.4,16,"FLD",NA,NA,NA,NA,NA,NA,7.99,8.07,NA,NA,NA,0
"9","ICHPLAN",2017-05-02,"LSHCB",2147,6.27,6.47,27,28.02,18.2,17.2,"FLD",NA,NA,NA,NA,NA,NA,7.89,7.89,NA,NA,NA,0
"10","ICHPLAN",2017-04-17,"LSHCB",2111,7.6,8.17,29.25,29.9,13.3,12.9,"FLD",NA,NA,NA,NA,NA,NA,7.86,8.03,NA,NA,NA,0
"11","ICHPLAN",2017-04-03,"LSHCB",2230,10.87,11.02,32.86,33.88,10.1,9.6,"FLD",NA,NA,NA,NA,NA,NA,7.56,7.96,NA,NA,NA,0
"12","ICHPLAN",2017-03-22,"LSHCB",32,12.08,12.14,35.44,36.25,6.1,6.2,"FLD",NA,NA,NA,NA,NA,NA,7.69,7.95,NA,NA,NA,0
"13","ICHPLAN",2017-03-06,"LSHCB",2337,12.77,12.77,36.99,36.68,4.6,4.6,"FLD",NA,NA,NA,NA,NA,NA,7.92,8.33,NA,NA,NA,0
"14","ICHPLAN",2017-08-24,"LSHCB",2047,5.9,5.48,29.71,30.24,24.7,23.3,"FLD",NA,NA,NA,NA,NA,NA,7.8,7.92,NA,NA,NA,0
"15","ICHPLAN",2017-11-27,"LSHCB",2235,8.16,7.93,26.48,27.23,7.4,7.5,"FLD",NA,NA,NA,NA,NA,NA,7.76,8.03,NA,NA,NA,0
"16","ICHPLAN",2017-11-14,"LSHCB",100,8.62,8.6,28.36,29.18,9.4,9.6,"FLD",NA,NA,NA,NA,NA,NA,7.78,7.91,NA,NA,NA,0
"17","ICHPLAN",2017-11-01,"LSHCB",353,7.15,6.91,28.53,28.96,13.6,14.2,"FLD",NA,NA,NA,NA,NA,NA,7.91,7.93,NA,NA,NA,0
"18","ICHPLAN",2017-10-17,"LSHCB",419,7.26,7.49,29.32,30.08,17,17.4,"FLD",NA,NA,NA,NA,NA,NA,7.75,7.99,NA,NA,NA,0
"19","ICHPLAN",2017-10-03,"LSHCB",359,6.57,6.63,28.95,29.41,18.4,18.5,"FLD",NA,NA,NA,NA,NA,NA,7.87,8.01,NA,NA,NA,0
"20","ICHPLAN",2017-09-21,"LSHCB",2000,6.11,6.27,29.03,29.85,23.1,22.8,"FLD",NA,NA,NA,NA,NA,NA,7.74,7.87,NA,NA,NA,0
"21","ICHPLAN",2017-01-02,"LSHCB",1926,NA,NA,30,31,5.5,4,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"22","ICHPLAN",2017-01-10,"LSHCB",203,NA,NA,30,30,-2,-2,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"23","ICHPLAN",2017-01-10,"LSHCB",210,NA,NA,30,30,-2,-2,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"24","ICHPLAN",2017-01-16,"LSHCB",1920,NA,NA,28,30,4,4,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"25","ICHPLAN",2017-01-26,"LSHCB",415,NA,NA,29,30,6,6,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"26","ICHPLAN",2017-01-30,"LSHCB",1820,10.63,NA,30,31,5,5,"FLD",NA,NA,NA,NA,NA,NA,8.18,NA,NA,NA,NA,0
"27","ICHPLAN",2017-02-07,"LSHCB",100,NA,NA,30,30,4.5,4,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"28","ICHPLAN",2017-02-13,"LSHCB",1844,NA,NA,30,30,4,3.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"29","ICHPLAN",2017-02-20,"LSHCB",2357,11.02,10.59,30.9,31.26,5.6,5.7,"FLD",NA,NA,NA,NA,NA,NA,8.24,8.14,NA,NA,NA,0
"30","ICHPLAN",2017-02-28,"LSHCB",1901,11.01,11.08,30,31,10,9,"FLD",NA,NA,NA,NA,NA,NA,8.14,8.15,NA,NA,NA,0
"31","ICHPLAN",2017-03-16,"LSHCB",2039,NA,NA,29,30,2.5,2,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"32","ICHPLAN",2017-03-30,"LSHCB",2037,NA,NA,30,30,8,8,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"33","ICHPLAN",2017-04-12,"LSHCB",2030,NA,NA,30,31,13,10,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"34","ICHPLAN",2017-04-24,"LSHCB",316,NA,NA,30,30,12.5,12,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"35","ICHPLAN",2017-05-08,"LSHCB",317,NA,NA,29,29,13.5,13,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"36","ICHPLAN",2017-05-23,"LSHCB",227,NA,NA,24,28,17,16,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"37","ICHPLAN",2017-06-06,"LSHCB",231,NA,NA,26,26.5,18,17.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"38","ICHPLAN",2017-06-21,"LSHCB",243,NA,NA,28,30,22.5,20.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"39","ICHPLAN",2017-07-06,"LSHCB",305,NA,NA,31,32,21.5,20.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"40","ICHPLAN",2017-07-17,"LSHCB",2331,NA,NA,31,31,26,25.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"41","ICHPLAN",2017-07-26,"LSHCB",2145,6.37,5.99,29.15,29.66,24.5,24,"FLD",NA,NA,NA,NA,NA,NA,7.97,8.08,NA,NA,NA,0
"42","ICHPLAN",2017-07-31,"LSHCB",2328,NA,NA,28,28,24.5,24.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"43","ICHPLAN",2017-08-15,"LSHCB",2320,NA,NA,30,30,23.5,24,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"44","ICHPLAN",2017-08-28,"LSHCB",2207,NA,NA,31,31,21.5,20.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"45","ICHPLAN",2017-09-11,"LSHCB",2050,NA,NA,28.5,30,19.5,20,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"46","ICHPLAN",2017-09-27,"LSHCB",2224,NA,NA,30,30,23.5,23,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"47","ICHPLAN",2017-10-09,"LSHCB",2022,NA,NA,29,30,22,22,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"48","ICHPLAN",2017-10-23,"LSHCB",2000,NA,NA,30,30,19.5,19,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"49","ICHPLAN",2017-11-06,"LSHCB",1811,NA,NA,30,30,16.5,16.25,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"50","ICHPLAN",2017-11-20,"LSHCB",1804,NA,NA,29,30,9,9,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"51","ICHPLAN",2017-12-04,"LSHCB",1730,NA,NA,30,31,8,8,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"52","ICHPLAN",2017-12-11,"LSHCB",2353,NA,NA,30,30,6,6,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"53","ICHPLAN",2017-12-18,"LSHCB",1734,NA,NA,30,30,6,6,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"54","ICHPLAN",2017-12-27,"LSHCB",2313,NA,NA,30,30,1,1.5,"FLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
